Descriptions,Specifications,Cartype,original_price,original_price,original_price,Discounts
2017 Maruti IGNIS,"16,256 km1st OwnerPetrol",ZETA 1.2 K12 AMT Automatic,"₹564,099","₹564,100","₹564,101",
2017 Maruti S Cross,"103,773 km1st OwnerDiesel",DELTA 1.3 Manual,"₹682,999","₹682,1000","₹682,1001",
2017 Maruti IGNIS,"20,947 km1st OwnerPetrol",DELTA 1.2 K12 Manual,"₹502,199","₹502,200","₹502,201",
2018 Jeep Compass,"13,908 km1st OwnerPetrol",LIMITED 1.4 AT Automatic,"₹1,649,499","₹1,649,500","₹1,649,501",
2014 Maruti Ertiga,"62,744 km1st OwnerDiesel",VDI ABS Manual,"₹656,499","₹656,500","₹656,501",
2019 Hyundai VENUE,"16,545 km1st OwnerDiesel",SX(O) CRDi Manual,"₹1,110,699","₹1,110,700","₹1,110,701",
2017 Maruti IGNIS,"40,132 km1st OwnerPetrol",DELTA 1.2 K12 Manual,"₹474,799","₹474,800","₹474,801",
2019 Tata NEXON,"16,184 km1st OwnerDiesel",XZA+ 1.5 ,"₹1,105,199","₹1,105,200","₹1,105,201",
2018 Mahindra TUV300,"29,735 km2nd OwnerDiesel",T 10 MT Dual Tone Manual,"₹803,499","₹803,500","₹803,501",
2018 Renault Duster,"31,130 km1st OwnerDiesel",RXS 85 PS Manual,"₹815,899","₹815,900","₹815,901",
2017 Ford Figo Aspire,"17,259 km2nd OwnerPetrol",1.2 TITANIUM PETROL Manual,"₹483,799","₹483,800","₹483,801",
2018 Maruti S Cross,"48,898 km1st OwnerDiesel",ZETA 1.3 SHVS ,"₹859,099","₹859,100","₹859,101",
2015 Maruti Celerio,"17,993 km1st OwnerPetrol",VXI AMT Automatic,"₹430,199","₹430,200","₹430,201",
2016 Skoda Rapid,"91,173 km1st OwnerDiesel",1.5 TDI AT STYLE PLUS Automatic,"₹608,299","₹608,300","₹608,301",
2016 Toyota Corolla Altis,"36,622 km2nd OwnerPetrol",G AT Automatic,"₹863,899","₹863,900","₹863,901",
2020 MG HECTOR,"4,454 km1st OwnerPetrol",SHARP DCT PETROL Automatic,"₹1,750,699","₹1,750,700","₹1,750,701",
2018 Hyundai Verna,"24,240 km2nd OwnerPetrol",1.6 SX VTVT AT (O) Automatic,"₹1,047,099","₹1,047,100","₹1,047,101",
2018 Maruti S Cross,"37,002 km1st OwnerDiesel",SIGMA SHVS Manual,"₹791,399","₹791,400","₹791,401",
2016 Maruti Alto K10,"83,597 km1st OwnerPetrol",VXI Manual,"₹296,299","₹296,300","₹296,301",
2017 Ford Ecosport,"41,382 km1st OwnerPetrol",1.5 TITANIUM TI VCT AT Automatic,"₹803,599","₹803,600","₹803,601",
2019 MG HECTOR,"13,457 km2nd OwnerPetrol",SHARP DCT PETROL Automatic,"₹1,607,599","₹1,607,600","₹1,607,601",
2017 Ford Ecosport,"27,854 km1st OwnerPetrol",1.5 TITANIUM PLUS TI VCT AT Manual,"₹934,299","₹934,300","₹934,301",
2015 Ford Ecosport,"95,843 km1st OwnerPetrol",1.5 TITANIUM TI VCT AT Automatic,"₹594,899","₹594,900","₹594,901",
2018 Maruti Baleno,"47,948 km1st OwnerPetrol",ZETA 1.2 K12 Manual,"₹598,899","₹598,900","₹598,901",
2017 Maruti Baleno,"48,828 km1st OwnerDiesel",ALPHA DDIS 190 Manual,"₹638,899","₹638,900","₹638,901",
2018 Maruti Ciaz,"28,121 km1st OwnerDiesel",ALPHA 1.3 DDIS SHVS Manual,"₹867,099","₹867,100","₹867,101",
2018 Hyundai Verna,"60,214 km1st OwnerPetrol",1.6 SX VTVT AT (O) Automatic,"₹1,067,699","₹1,067,700","₹1,067,701",
2018 Ford Ecosport,"44,329 km1st OwnerPetrol",1.5 TITANIUM PLUS TI VCT AT Manual,"₹825,799","₹825,800","₹825,801",
2018 Maruti Swift,"65,055 km1st OwnerDiesel",VDI AMT Automatic,"₹692,699","₹692,700","₹692,701",
2019 Maruti Ertiga,"57,839 km2nd OwnerDiesel",ZDI PLUS SHVS Manual,"₹1,145,099","₹1,145,100","₹1,145,101",
2018 Ford Ecosport,"44,116 km1st OwnerDiesel",1.5TITANIUM TDCI Manual,"₹854,499","₹854,500","₹854,501",
2017 Maruti Baleno,"9,398 km1st OwnerPetrol",ZETA 1.2 K12 Manual,"₹606,099","₹606,100","₹606,101",
2018 Maruti Swift,"55,842 km1st OwnerPetrol",VXI Manual,"₹558,999","₹558,1000","₹558,1001",
2019 Ford Ecosport,"9,607 km1st OwnerPetrol",1.5 TITANIUM PLUS TI VCT AT Manual,"₹990,699","₹990,700","₹990,701",
2017 Maruti Baleno,"36,120 km1st OwnerPetrol",ALPHA 1.2 K12 Manual,"₹634,099","₹634,100","₹634,101",
2014 Maruti Wagon R 1.0,"98,080 km1st OwnerPetrol",VXI Manual,"₹359,199","₹359,200","₹359,201",
2016 Maruti Wagon R 1.0,"46,629 km1st OwnerPetrol",VXI AMT Automatic,"₹366,999","₹366,1000","₹366,1001",
2012 Honda Jazz,"52,438 km2nd OwnerPetrol",1.2 X I VTEC Manual,"₹347,599","₹347,600","₹347,601",
2020 Maruti Vitara Brezza,"23,940 km1st OwnerPetrol",ZXI Manual,"₹928,599","₹928,600","₹928,601",
2018 Ford Ecosport,"17,149 km1st OwnerPetrol",1.5 TITANIUM PLUS TI VCT AT Manual,"₹884,799","₹884,800","₹884,801",
2018 Maruti Baleno,"23,243 km1st OwnerPetrol",ZETA 1.2 K12 Manual,"₹624,499","₹624,500","₹624,501",
2013 Honda Brio,"27,243 km1st OwnerPetrol",1.2 S MT I VTEC Manual,"₹329,899","₹329,900","₹329,901",
2020 Maruti Vitara Brezza,"4,807 km1st OwnerPetrol",ZXI + Manual,"₹1,011,699","₹1,011,700","₹1,011,701",
2018 Maruti Vitara Brezza,"19,139 km1st OwnerDiesel",ZDI PLUS Manual,"₹921,299","₹921,300","₹921,301",
2019 Maruti Vitara Brezza,"24,446 km1st OwnerDiesel",VDI Manual,"₹899,299","₹899,300","₹899,301",
2019 Maruti Dzire,"3,202 km1st OwnerPetrol",ZXI AMT Automatic,"₹815,499","₹815,500","₹815,501",
2014 Maruti Swift Dzire,"35,765 km1st OwnerPetrol",VXI 1.2 BS IV Manual,"₹452,099","₹452,100","₹452,101",
2019 Maruti Vitara Brezza,"67,109 km1st OwnerDiesel",VDI AMT Manual,"₹814,999","₹814,1000","₹814,1001",
2014 Maruti Wagon R 1.0,"34,947 km1st OwnerPetrol",LXI Manual,"₹344,999","₹344,1000","₹344,1001",
2016 Maruti Alto 800,"35,210 km1st OwnerPetrol",VXI Manual,"₹284,299","₹284,300","₹284,301",
2017 Honda Jazz,"16,220 km1st OwnerPetrol",1.2 V MT Manual,"₹654,999","₹654,1000","₹654,1001",
2013 Maruti Wagon R 1.0,"39,904 km1st OwnerPetrol",LXI Manual,"₹333,399","₹333,400","₹333,401",
2014 Maruti Alto 800,"22,626 km2nd OwnerPetrol",LXI Manual,"₹273,599","₹273,600","₹273,601",
2016 Hyundai Grand i10,"14,520 km1st OwnerPetrol",SPORTZ 1.2 KAPPA VTVT Manual,"₹493,799","₹493,800","₹493,801",
2016 Hyundai Grand i10,"11,819 km2nd OwnerPetrol",1.2 ASTA (O) AT Automatic,"₹536,099","₹536,100","₹536,101",
2017 Hyundai Grand i10,"7,259 km1st OwnerPetrol",SPORTZ 1.2 KAPPA VTVT Manual,"₹550,799","₹550,800","₹550,801",
2013 Maruti Swift,"35,212 km1st OwnerDiesel",VDI Manual,"₹450,799","₹450,800","₹450,801",
2015 Maruti Alto K10,"28,852 km1st OwnerPetrol",VXI AMT Manual,"₹320,699","₹320,700","₹320,701",
2017 Maruti Alto 800,"19,863 km1st OwnerPetrol",LXI Manual,"₹341,699","₹341,700","₹341,701",
2017 Maruti Wagon R 1.0,"11,175 km3rd OwnerPetrol",VXI Manual,"₹437,199","₹437,200","₹437,201",
2017 Maruti Alto 800,"5,707 km1st OwnerPetrol",VXI Manual,"₹333,799","₹333,800","₹333,801",
2013 Maruti Wagon R 1.0,"21,502 km1st OwnerPetrol",LXI Manual,"₹359,699","₹359,700","₹359,701",
2016 Maruti Alto K10,"4,810 km1st OwnerPetrol",VXI AMT Manual,"₹372,999","₹372,1000","₹372,1001",
2019 Maruti Alto K10,"14,939 km1st OwnerPetrol",VXI Manual,"₹421,399","₹421,400","₹421,401",
2017 Tata NEXON,"18,019 km2nd OwnerPetrol",XZ+ 1.2 Manual,"₹738,099","₹738,100","₹738,101",
2018 Maruti Alto K10,"15,382 km1st OwnerPetrol",VXI (O) AMT ,"₹372,499","₹372,500","₹372,501",
2016 Maruti Celerio,"39,771 km1st OwnerPetrol",ZXI Manual,"₹415,199","₹415,200","₹415,201",
2015 Hyundai Grand i10,"34,608 km2nd OwnerPetrol",ERA 1.2 VTVT Manual,"₹370,099","₹370,100","₹370,101",
2015 Mahindra XUV500,"42,995 km1st OwnerDiesel",W6 4X2 Manual,"₹773,399","₹773,400","₹773,401",
2017 Maruti IGNIS,"24,904 km1st OwnerPetrol",DELTA 1.2 K12 Manual,"₹476,399","₹476,400","₹476,401",
2015 Maruti Ciaz,"72,544 km2nd OwnerPetrol",ZXI Manual,"₹517,499","₹517,500","₹517,501",
